sample_name	protocol	organism	read1	read2	read_type	anno_name	TSS_name	File_mb	Read_type	Genome	Raw_reads	Fastq_reads	Trimmed_reads	Trim_loss_rate	Aligned_reads_rCRSd	Alignment_rate_rCRSd	Aligned_reads_human_repeats	Alignment_rate_human_repeats	Mapped_reads	QC_filtered_reads	Aligned_reads	Alignment_rate	Total_efficiency	Mitochondrial_reads	NRF	PBC1	PBC2	Unmapped_reads	Duplicate_reads	Dedup_aligned_reads	Dedup_alignment_rate	Dedup_total_efficiency	TSS_Score	Peak_count	FRiP	Time	Success
102_40113410_s	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/102_40113410_s_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/102_40113410_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	7348.8767	paired	hg38	158851982	158851982	158841826	0.01	29375528.0	18.49	6570306.0	4.14	120128488	7116114.0	113012374	71.15	71.14	50968.0	0.64	0.8	5.0	2767504.0	12019439	100992935.0	63.58	63.58	17.2866866358	71388	0.35450947168	6:54:19	12-15-08:18:19
102_40113410_u	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/102_40113410_u_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/102_40113410_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	2076.5022	paired	hg38	44322652	44322652	44321444	0.0	8149808.0	18.39	1676772.0	3.78	33653241	1920545.0	31732696	71.6	71.59	13445.0	0.86	0.93	14.37	841623.0	1296658	30436038.0	68.67	68.67	19.9887419844	49451	0.450723789747	2:33:58	12-15-03:57:56
102_40712005_s	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/102_40712005_s_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/102_40712005_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1000.4613	paired	hg38	21203508	21203508	21199524	0.02	3616426.0	17.06	921652.0	4.35	16329809	990623.0	15339186	72.36	72.34	4332.0	0.81	0.9	10.15	331637.0	794533	14544653.0	68.61	68.6	19.1838093532	40098	0.389924341487	1:49:57	12-15-03:13:55
102_40712005_u	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/102_40712005_u_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/102_40712005_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1276.8658	paired	hg38	27294464	27294464	27293838	0.0	2913018.0	10.67	1347978.0	4.94	22657125	1441009.0	21216116	77.73	77.73	3831.0	0.85	0.92	12.56	375717.0	879349	20336767.0	74.51	74.51	17.1767027738	33956	0.273319584037	4:34:41	12-15-03:45:36
102_43552505_s	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/102_43552505_s_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/102_43552505_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1323.4994	paired	hg38	28651488	28651488	28650952	0.0	5383296.0	18.79	1546686.0	5.4	21259421	1452013.0	19807408	69.13	69.13	7173.0	0.83	0.91	11.13	461549.0	877497	18929911.0	66.07	66.07	10.1937516906	22367	0.105795619498	1:54:30	12-15-03:51:39
102_43552505_u	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/102_43552505_u_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/102_43552505_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1368.9636	paired	hg38	29499818	29499818	29499442	0.0	4384172.0	14.86	1763232.0	5.98	22776825	1659949.0	21116876	71.58	71.58	5831.0	0.81	0.9	9.86	575213.0	1053139	20063737.0	68.01	68.01	8.64504446619	19099	0.0714129305869	1:53:11	12-15-03:50:12
102_49630503_s	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/102_49630503_s_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/102_49630503_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	653.7286	paired	hg38	13857622	13857622	13856412	0.01	2188820.0	15.8	673368.0	4.86	10765803	681381.0	10084422	72.78	72.77	2768.0	0.87	0.93	14.71	228421.0	348584	9735838.0	70.26	70.26	17.0356752025	29614	0.274588171737	1:47:23	12-15-00:33:57
102_49630503_u	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/102_49630503_u_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/102_49630503_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1140.6465	paired	hg38	24315254	24315254	24314542	0.0	4176184.0	17.18	1154842.0	4.75	18609869	1096879.0	17512990	72.03	72.02	5494.0	0.82	0.9	10.19	373647.0	886302	16626688.0	68.38	68.38	18.4144587827	32945	0.309983503674	1:42:24	12-15-03:06:56
103_43112611_s	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/103_43112611_s_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/103_43112611_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	855.9745	paired	hg38	18249066	18249066	18248236	0.0	4541462.0	24.89	870336.0	4.77	12349216	821238.0	11527978	63.17	63.17	6164.0	0.77	0.88	7.96	487222.0	716302	10811676.0	59.25	59.25	14.8659718221	24215	0.209432391353	1:59:55	12-15-00:46:33
103_43112611_u	ATAC	human	ATAC_UF_SQB102/fastq_files_combined/103_43112611_u_R1.fastq.gz	ATAC_UF_SQB102/fastq_files_combined/103_43112611_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1360.3173	paired	hg38	29281096	29281096	29263312	0.06	5864740.0	20.04	1609634.0	5.5	21252309	1519329.0	19732980	67.43	67.39	7882.0	0.47	0.68	2.9	536629.0	3019977	16713003.0	57.11	57.08	11.6694344352	20387	0.101384838985	1:48:57	12-15-03:46:02
