sample_name,protocol,organism,read1,read2,read_type,anno_name,TSS_name
109_40570510_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_41778703_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_41952305_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_42311711_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_43317810_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_43429011_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_44144710_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_44373510_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_44642311_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_44964911_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_44983701_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_45195011_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_45310410_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_45898603_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_45975011_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_46182511_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_46394411_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_46578403_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_48085910_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_48659011_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_48751610_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_49231611_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_49593011_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
109_49741510_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
